ID,SMILES
hop_78,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)CCS(=O)(=O)[C@@H]([C@H]6O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cccc(c12)CCS(=O)(=O)C[C@@H]2O
hop_79,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]3C[NH2+]C[C@@H]([C@@]34O)C[C@H](C[C@@H]4C(=O)N(C[C@H]56)C[C@H](N6)CC5)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from C1C[NH2+]C[C@@H]([C@@]12O)CCCC2
hop_80,C1[C@@H](F)CN(CCC2)[C@]12COc3c(N)c(N(C[C@H]45)C[C@H](N5)CC4)c(c(c36)c[nH+]cc6)NS(=O)(=O)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1c[nH+]cc(c12)ccc(c2)N
hop_81,C1[C@@H](F)CN(CCC2)[C@]12COC[C@H]3CC[N@H+](C[C@@H]3N(C[C@H]45)C[C@H](N5)CC4)NC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@H]1CC[N@@H+](N)CC1
hop_82,C1[C@@H](F)CN(CCC2)[C@]12COc3c[nH+]c(c(n3)N(C[C@H]45)C[C@H](N5)CC4)NS(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from Nc1cncc[nH+]1
hop_83,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)c(c3)c(N(C[C@H]45)C[C@H](N5)CC4)c(cc36)[NH2+]C[C@@H]6c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1C[NH2+]c(cc12)ccc2
hop_84,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)c(=N/C)\n(c3C)S(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cc1ccc/c([nH]1)=N\C
hop_85,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3csc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)nc([nH+]4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1csc(c12)cnc[nH+]2
hop_86,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)[NH2+]N(N6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from N1N[NH2+]c(c12)cccc2
hop_87,C1[C@@H](F)CN(CCC2)[C@]12COc(n3)c[n+](nc3N(C[C@H]45)C[C@H](N5)CC4)S(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from c1c[nH+]ncn1
