ID,SMILES,Kd,IC50,erk_IC50,log_Kd,log_IC50,log_erk_IC50,binding_energy,uncertainty,RMSD,CNNscore,CNNaffinity,CNNvariance
us_424,Oc1ccc(CC(F)(F)F)c(c1)-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,5.0,680.9,,1.6094399124321002,6.523415467175365,-13.20716,-0.92753,0.4727,0.79965,8.08768,0.08496
us_425,FC1CN2CC(F)CC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,,90.2,5414.1,,4.502029537933317,8.596761942482392,-14.41913,-1.14066,0.32126,0.80688,8.1961,0.13122
us_426,CCc1c(F)ccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,0.9,228.0,,-0.10534940460844315,5.4293456728140885,-14.08296,-1.17207,0.59934,0.68825,8.10891,0.07196
us_427,CCn1ccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,35.3,1981.7,,3.5638832472253297,7.591710346219339,-8.71029,-1.67699,1.01952,0.51924,6.81645,0.08105
us_428,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3CCCc23)C1,,92.1,6964.4,,4.522875051838888,8.848566738928318,-12.54154,-1.02144,0.66306,0.63435,7.78326,0.24922
us_429,CC1CCc2cccc(c12)-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,18.5,1696.0,,2.9177712726246736,7.436027822248074,-13.09389,-1.13604,0.49537,0.67263,7.87498,0.14764
us_430,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3ccc(F)c(F)c23)C1,,1.0,141.0,,9.999950000398841e-06,4.948759961300151,-14.75336,-0.96837,0.59443,0.75155,8.07606,0.13452
us_431,CCc1cccc2cccc(-c3ncc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)N5CCOCC5)CC6)nc4c3F)N3CC4CCC(C3)N4)c12,,1.4,74.3,,0.3364793794528456,4.308111086313207,-8.91404,-1.50313,2.79634,0.52213,7.96498,0.14185
us_432,CCc1cccc2cccc(-c3ncc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)NC)CC6)nc4c3F)N3CC4CCC(C3)N4)c12,,1.9,106.3,,0.6418591493164392,4.666265379421275,-12.57654,-1.95627,1.32116,0.63318,7.9118,0.1241
us_433,CCc1cccc2cc(O)cc(-c3ncc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)NC)CC6)nc4c3F)N3CC4CCC(C3)N4)c12,,0.9,43.2,,-0.10534940460844315,3.7658407267315193,-12.498,-1.59626,1.14009,0.80567,8.16183,0.08476
