Index,Example,IUPAC,SMILES
64,64,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-6-methy 1- 1 ,4-oxazepan-6-ol",Did not work
65,65,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-methylazepan-3-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCCC2)(O)C)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
66,66,"1-(8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(quinolin-8-yl)pyrido[4,3- d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCC2)(O)C)OCC21CCCN1CCC2)C=2C=CC=C1C=CC=NC21
67,67,"1-(7-(2-aminobenzo[d]thiazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",NC=1SC2=C(N1)C(=CC=C2)C2=C(C=1N=C(N=C(C1C=N2)N2CC(CCC2)(O)C)OCC21CCCN1CCC2)F
68,68,"1-(7-(benzo[d]thiazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d] pyrimidin-4-y l)-3-methy lpiperidin-3 -ol",S1C=NC2=C1C=CC=C2C2=C(C=1N=C(N=C(C1C=N2)N2CC(CCC2)(O)C)OCC21CCCN1CCC2)F
69,69,"l -(8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(naphthalen-1-yl)pyrido[4,3- d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",Did not work
70,70,"N-((2-aminopyridin-3-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",NC1=NC=CC=C1CNC=1C2=C(N=C(N1)OCC13CCCN3CCC1)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)F)F
71,71,"1-(7-(3-chloro-2-cyclopropyl-5-hydroxyphenyl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",ClC=1C(=C(C=C(C1)O)C1=C(C=2N=C(N=C(C2C=N1)N1CC(CCC1)(O)C)OCC12CCCN2CCC1)F)C1CC1
72,72,"8-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,8-triazaspiro[5.5]undecan-2-one",FC1=C(N=CC2=C1N=C(N=C2N2CC1(CCNC(N1)=O)CCC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
73,73,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,7-diazaspiro[3.5]nonan-2-one",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CCC2(CC(N2)=O)CC1)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
74,74,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)- 4-(6-(hydroxymethyl)-1,4-oxazepan-4-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",C(C)C1=C2C(=CC(=CC2=CC=C1F)O)C1=C(C=2N=C(N=C(C2C=N1)N1CCOCC(C1)CO)OC[C@]12CCCN2C[C@@H](C1)F)F
75,75,"4-(3-(1H-imidazol-1-yl)azetidin-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",N1(C=NC=C1)C1CN(C1)C=1C2=C(N=C(N1)OCC13CCCN3CCC1)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)F)F
76,76,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol",FC1=C(N=CC2=C1N=C(N=C2N2C1CC(CC(C2)C1)O)OCC12CCCN2CCC1)C1=CC=CC2=CC=CC(=C12)F
77,77,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-1,7-diazaspiro[3.5]nonan-2-one",FC1=C(N=CC2=C1N=C(N=C2N2CCC1(CC(N1)=O)CC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
78,78,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-amine",FC1=C(N=CC2=C1N=C(N=C2N2CC=1N(CCC2)N=C(C1)N)OCC12CCCN2CCC1)C1=CC=CC2=CC=CC(=C12)F
