Index,Example,IUPAC
74,74,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)- 4-(6-(hydroxymethyl)-1,4-oxazepan-4-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
75,75,"4-(3-(1H-imidazol-1-yl)azetidin-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
76,76,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol"
77,77,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-1,7-diazaspiro[3.5]nonan-2-one"
78,78,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-amine"
79,79,"N-((2-aminopyridin-3-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-N-methyl-2-((tetrahydro- 1H-pyrroliz.in-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
80,80,"N-((1H-benzo[d]imidazol-5-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
81,81,"3-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol"
82,82,"3-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol"
83,83,"(4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,4-oxazepan-6-yl)methanol"
