Example,IUPAC,SMILES
65,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-((3-(chloromethyl)tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3C(CCl)CC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
66,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-((3-(chl oromethyl)tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3C(CCl)CC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
67,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-fluorophenethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCc5ccccc5F)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
68,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(3-methoxypropoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",COCCCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
69,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-hydroxyethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",OCCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
70,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-methoxyethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",COCCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
71,"4-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(3-hydroxynaphthalen-1-yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)tetrahydro-2H-thiopyran 1,1-dioxide",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OC5CC[S](=O)(=O)CC5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
72,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-2H-pyran-4-yl)oxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OC5CCOCC5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
73,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(cyclopentylmethoxy)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCC5CCCC5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
74,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(7-oxa-2-azaspiro[3.5]nonan-2-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(nc4c3F)N5CC6(CCOCC6)C5)N7C[C@@H]8CC[C@H](C7)N8
